"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0134009M";"Université";"MCF";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";7
"0134009M";"Université";"MCF";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";41
"0134009M";"Université";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";37
"0134009M";"Université";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";82
"0134009M";"Université";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";53
"0134009M";"Université";"MCF";29;"29-Constituants élémentaires";"Physique";"Sciences";10
"0134009M";"Université";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";34
"0134009M";"Université";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";51
"0134009M";"Université";"MCF";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";39
"0134009M";"Université";"MCF";33;"33-Chimie des matériaux";"Chimie";"Sciences";17
"0134009M";"Université";"MCF";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";5
"0134009M";"Université";"MCF";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";17
"0134009M";"Université";"MCF";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";10
"0134009M";"Université";"MCF";37;"37-Météorologie, océanographie physique de l'environnement";"Sciences de la terre";"Sciences";5
"0134009M";"Université";"MCF";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";7
"0134009M";"Université";"MCF";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";1
"0134009M";"Université";"MCF";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";14
"0134009M";"Université";"MCF";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";11
"0134009M";"Université";"MCF";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";10
"0134009M";"Université";"MCF";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";12
